A_RowId,CATEGORY,FULL_URL,HOST,URI,TARGET
-1977206909,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|europeanrussianandeurasianstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|EUROPEANRUSSIANANDEURASIANSTUDIES,INTERNATIONAL
-901457100,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|filmstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|FILMSTUDIES,VISUAL ART
1399835500,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|frenchandfrancophonestudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|FRENCHANDFRANCOPHONESTUDIES,FRENCH
221332685,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|geography|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|GEOGRAPHY,GEOGRAPHY
1540275268,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|healthsciencetechnologyandpolicy|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|HEALTHSCIENCETECHNOLOGYANDPOLICY,HEALTH
-1907633627,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|history|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|HISTORY,HISTORY
-1378757543,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|humancomputerinteraction|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|HUMANCOMPUTERINTERACTION,COMPUTER SCIENCE
1181900962,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|infrastructureprotectionandinternationalsecurity|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|INFRASTRUCTUREPROTECTIONANDINTERNATIONALSECURITY,COMPUTER SCIENCE
1628368011,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|internationalaffairs|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|INTERNATIONALAFFAIRS,INTERNATIONAL
-287938885,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|journalism|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|JOURNALISM,COMMUNICATIONS
-1821163427,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|legalstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|LEGALSTUDIES,LAW
-480505113,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|mathematics|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|MATHEMATICS,MATHEMATICS
1716637895,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|mechanicalandaerospaceengineering|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|MECHANICALANDAEROSPACEENGINEERING,MECHANICAL ENGINEERING
-342983571,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|musicandculture|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|MUSICANDCULTURE,MUSIC
-245454152,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|neuroscience|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|NEUROSCIENCE,NEUROSCIENCE
-956876036,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|northernstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|NORTHERNSTUDIES,NORTHERN STUDIES
-1583563280,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|philanthropyandnonprofitleadership|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|PHILANTHROPYANDNONPROFITLEADERSHIP,PHILANTHROPYANDNONPROFITLEADERSHIP
-2123334592,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|philosophy|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|PHILOSOPHY,PHILOSOPHY
874304472,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|physics|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|PHYSICS,PHYSICS
429893168,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|politicaleconomy|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|POLITICALECONOMY,POLITICS
765557521,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|politicalmanagement|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|POLITICALMANAGEMENT,POLITICS
