xxxxxxx	XXXXXXXXX
PUBLIC ADMINISTRATION DEGREE	DEGREEPROGRAM
PUBLIC HEALTH DEGREE	DEGREEPROGRAM
PUBLIC POLICY DEGREE	DEGREEPROGRAM
RECORDS MANAGEMENT DEGREE	DEGREEPROGRAM
REGISTERED NURSE DEGREE	DEGREEPROGRAM
RELIGION DEGREE	DEGREEPROGRAM
RN DEGREE	DEGREEPROGRAM
SCIENCES DEGREE	DEGREEPROGRAM
SOCIAL SCIENCE DEGREE	DEGREEPROGRAM
SOCIAL SCIENCES DEGREE	DEGREEPROGRAM
SOCIAL WORK DEGREE	DEGREEPROGRAM
SOCIOLOGY DEGREE	DEGREEPROGRAM
SPANISH DEGREE	DEGREEPROGRAM
SPORT SCIENCE DEGREE	DEGREEPROGRAM
SPORT SCIENCES DEGREE	DEGREEPROGRAM
SPORTS DEGREE	DEGREEPROGRAM
SPORTS SCIENCE DEGREE	DEGREEPROGRAM
SPORTS SCIENCES DEGREE	DEGREEPROGRAM
STATISTICS DEGREE	DEGREEPROGRAM
STRUCTURAL ENGINEERING DEGREE	DEGREEPROGRAM
SUPPLY CHAIN MANAGEMENT DEGREE	DEGREEPROGRAM
SYSTEM ENGINEERING DEGREE	DEGREEPROGRAM
SYSTEMS ENGINEERING DEGREE	DEGREEPROGRAM
TECHNICAL WRITING DEGREE	DEGREEPROGRAM
THEATER DEGREE	DEGREEPROGRAM
THEATRE DEGREE	DEGREEPROGRAM
TOXICOLOGY DEGREE	DEGREEPROGRAM
TRAINING AND DEVELOPMENT DEGREE	DEGREEPROGRAM
VISUAL ART DEGREE	DEGREEPROGRAM
4 YEAR DEGREE	EDUDEGREE
ACCOUNTING CERTIFICATION	EDUDEGREE
ADVANCED DEGREE	EDUDEGREE
B.A. 	EDUDEGREE
B.A. OR B.S.	EDUDEGREE
B.A. OR B.S. DEGREE	EDUDEGREE
B.A/B.S. DEGREE	EDUDEGREE
B.S. 	EDUDEGREE
BA DEGREE	EDUDEGREE
BA OR BS DEGREE	EDUDEGREE
BA/BS	EDUDEGREE
BA/BS DEGREE	EDUDEGREE
BA\BS	EDUDEGREE
BA\BS DEGREE	EDUDEGREE
BACCALAUREATE	EDUDEGREE
BACCALAUREATE DEGREE	EDUDEGREE
BACHELOR DEGREE	EDUDEGREE
BACHELOR LEVEL DEGREE	EDUDEGREE
BACHELOR OF	EDUDEGREE
BACHELOR OF ARTS	EDUDEGREE
BACHELOR OF COMMERCE	EDUDEGREE
BACHELOR OF LAW	EDUDEGREE
BACHELOR OF SCIENCE	EDUDEGREE
BACHELOR 'S	EDUDEGREE
BACHELOR 'S DEGREE	EDUDEGREE
BACHELOR 'S LEVEL DEGREE	EDUDEGREE
BACHELOR 'S OF SCIENCE	EDUDEGREE
BACHELORS	EDUDEGREE
BACHELOR'S	EDUDEGREE
BACHELORS DEGREE	EDUDEGREE
BACHELOR'S DEGREE	EDUDEGREE
BACHELORS LEVEL DEGREE	EDUDEGREE
BACHELOR'S LEVEL DEGREE	EDUDEGREE
BACHELOR'S OF SCIENCE	EDUDEGREE
BS DEGREE	EDUDEGREE
BS/BA	EDUDEGREE
BS/BA DEGREE	EDUDEGREE
BS\BA	EDUDEGREE
BS\BA DEGREE	EDUDEGREE
BSC	EDUDEGREE
CHEMISTRY	EDUDEGREE
COLLEGE DEGREE	EDUDEGREE
COMPLETION OF DEGREE	EDUDEGREE
CPA	EDUDEGREE
DEGREE 2 : 1	EDUDEGREE
DEGREE COMPLETION	EDUDEGREE
DEGREE DIPLOMA	EDUDEGREE
DEGREE EDUCATED	EDUDEGREE
DEGREE IN	EDUDEGREE
DEGREE LEVEL	EDUDEGREE
DEGREE LEVEL EDUCATION	EDUDEGREE
DEGREE OR EQUIVALENT	EDUDEGREE
DEGREE PREFERRED	EDUDEGREE
DEGREE QUALIFICATION	EDUDEGREE
